building,town,county,occurrences,dove_tower_id,confidence,alternatives,reasoning
St Werburgh,Spondon,Derbyshire,5,13638,high,,Unique tower in Spondon; dedication 'S Werburgh' matches 'St Werburgh'
St Stephen,Hammerwood,East Sussex,5,14180,high,,Unique tower in Hammerwood; dedication 'S Stephen' matches 'St Stephen'
St John the Evangelist,Chelford,Cheshire,5,15671,high,,Unique tower in Chelford; dedication 'S John Ev' matches 'St John the Evangelist'
St Mary,Bolsterstone,South Yorkshire,5,15595,high,,Unique tower in Bolsterstone; dedication 'S Mary' matches 'St Mary'
St John the Baptist,Whittington,Shropshire,5,10162,high,,Unique tower in Whittington; dedication 'S John Bapt' matches 'St John the Baptist'
St Oswald King and Martyr,Oswestry,Shropshire,5,13772,medium,22600,Partial dedication match for 'S Oswald K&M' among 2 towers in town
St John the Baptist,Penistone,South Yorkshire,5,16134,high,,Unique tower in Penistone; dedication 'S John Bapt' matches 'St John the Baptist'
,Hooe (Dewbys Bells),East Sussex,5,12517,high,,"Fuzzy place match (Hooe (Dewbys Bells) -> Hooe, East Sussex)"
't Klockhuys,Dordrecht,The Netherlands,5,14275,high,17691,Resolved dedication ''t Klockhuys' (Dordrecht) among 2 towers in town
St Mary,Henlow,Bedfordshire,5,10174,high,,Unique tower in Henlow; dedication 'S Mary' matches 'St Mary'
,Rendham,Suffolk,5,12934,high,,Unique tower in Rendham (Suffolk); building unspecified in source
St Vincent,Caythorpe,Lincolnshire,5,13483,high,,Unique tower in Caythorpe; dedication 'S Vincent' matches 'St Vincent'
3 Macadam Close,Burntwood,Staffordshire,5,,none,,Private residence address (handbell ring)
St Nicholas,East Dereham,Norfolk,5,11591,high,,Unique tower in Dereham; dedication 'S Nicholas' matches 'St Nicholas'
St Peter,Leeds,,5,13165,high,16351;11425;15978;21524;21525;21526;21527;21531;25533;10218,Resolved dedication 'Minster Ch of S Peter' (Leeds) among 28 towers in town
St Mary,Long Sutton,Lincolnshire,5,15492,high,,Unique tower in Long Sutton; dedication 'S Mary' matches 'St Mary'
St James,Sheldwich,Kent,5,15430,high,,Unique tower in Sheldwich; dedication 'S James' matches 'St James'
,Liversedge,,5,15896,high,,Unique tower in Liversedge (West Yorkshire); building unspecified in source
St Margaret,Uxbridge,Greater London,5,14402,high,12550,Resolved dedication 'S Margaret' (Uxbridge) among 2 towers in town
St Laurence,Long Eaton,Derbyshire,5,15066,high,21775,Resolved dedication 'S Laurence' (Long Eaton) among 2 towers in town
Dewbys Bells,Hooe,East Sussex,5,12517,medium,,"Sole ringing tower in Hooe, but dedication 'S Oswald' differs from source 'Dewbys Bells'"
St Peter,Walworth,London,5,17140,high,24414;24415,Resolved dedication 'S Peter' (Walworth) among 3 towers in town
St Oswald,Malpas,Cheshire,5,12702,high,,Unique tower in Malpas; dedication 'S Oswald' matches 'St Oswald'
Holy Trinity,Loddon,Norfolk,5,12942,high,,Unique tower in Loddon; dedication 'Holy Trinity' matches 'Holy Trinity'
,Watlington,Oxon,5,10209,high,,Unique tower in Watlington (Oxfordshire); building unspecified in source
All Saints,Sawley,Derbyshire,5,14222,high,23192,Resolved dedication 'All Saints' (Sawley) among 2 towers in town
St Ebbe,Oxford,Oxfordshire,5,10326,high,14542;10172;11850;12299;11203;16203;13271;13903;10578;14239,Resolved dedication 'S Ebbe' (Oxford) among 26 towers in town
St Mary the Virgin,Burghill,Herefordshire,5,13979,high,,Unique tower in Burghill; dedication 'S Mary V' matches 'St Mary the Virgin'
St Bartholomew,Edgbaston,West Midlands,5,10824,high,19879;19880;19881;19882,Resolved dedication 'S Bartholomew' (Edgbaston) among 5 towers in town
St Mary,Todmorden,,5,16893,high,17066;12829,Resolved dedication 'S Mary' (Todmorden) among 3 towers in town
,Crawley,Sussex,5,13308,medium,19439;25137,Partial dedication match for 'S John Bapt' among 3 towers in town
St Mary the Virgin,Aldridge,West Midlands,5,15282,high,,Unique tower in Aldridge; dedication 'S Mary V' matches 'St Mary the Virgin'
,Hungerford,,5,11892,high,,Unique tower in Hungerford (Berkshire); building unspecified in source
St James,Southam,Warwickshire,5,11684,high,,Unique tower in Southam; dedication 'S James' matches 'St James'
St Bartholomew,Quorn,Leicestershire,5,10703,high,,Unique tower in Quorn; dedication 'S Bartholomew' matches 'St Bartholomew'
St Mary the Virgin,East Molesey,Surrey,5,10386,high,25584,Resolved dedication 'S Mary V' (East Molesey) among 2 towers in town
,Balderton,,5,14817,high,,Unique tower in Balderton (Nottinghamshire); building unspecified in source
,Aspley,Notts,5,15234,high,,Unique tower in Aspley (Nottinghamshire); building unspecified in source
Imperial College (Huxley Building),Knightsbridge,Middlesex,5,,none,10305;21260,Unresolved: 'Imperial College (Huxley Building)' did not match any of the 2 towers in Knightsbridge
,Hanbury,Worcs,5,15060,high,,Unique tower in Hanbury (Worcestershire); building unspecified in source
St Catherine,Pontypridd,Rhondda Cynon Taf,5,14992,high,,Unique tower in Pontypridd; dedication 'S Catherine' matches 'St Catherine'
,Welbourn,,5,12909,high,,Unique tower in Welbourn (Lincolnshire); building unspecified in source
2 Adlington Close,Poynton,Cheshire,5,,none,,Private residence address (handbell ring)
Technical College,Loughborough,Leicestershire,5,,none,16752;10191;21820;21821;21822;17781,Unresolved: 'Technical College' did not match any of the 6 towers in Loughborough
St Ann,Stamford Hill,Greater London,5,13932,high,,Unique tower in Stamford Hill; dedication 'S Ann' matches 'St Ann'
St Peter,East Tytherley,Hampshire,5,12006,high,,Unique tower in East Tytherley; dedication 'S Peter' matches 'St Peter'
St Peter,Brighton,,5,10532,high,16546;10859;14297;14589;18660;18670;18662;18663;18664;18665,Resolved dedication 'S Peter' (Brighton) among 17 towers in town
All Saints,Oakham,Rutland,5,14688,high,,Unique tower in Oakham; dedication 'All Saints' matches 'All Saints'
,Frindsbury,,5,14133,high,,Unique tower in Frindsbury (Kent); building unspecified in source
All Saints,Bakewell,Derbyshire,5,10677,high,,Unique tower in Bakewell; dedication 'All Saints' matches 'All Saints'
St George,Bristol,Bristol,5,11859,medium,10300;10331;15455;14342;11615;14422;12166;15180;12993;12039,Partial dedication match for 'S Matthew' among 17 towers in town
,Staveley,,5,15085,medium,13617,Partial dedication match for 'S John Bapt' among 2 towers in town
,Royston,Yorks,5,15270,high,,Unique tower in Royston (South Yorkshire); building unspecified in source
St John the Evangelist,Barmouth,Gwynedd,5,14343,high,,Unique tower in Barmouth; dedication 'S John' matches 'St John the Evangelist'
St Nicholas,Codsall,Staffordshire,5,12370,high,,Unique tower in Codsall; dedication 'S Nicholas' matches 'St Nicholas'
,Willesden,,5,14613,medium,24812;24813,Partial dedication match for 'S Mary' among 3 towers in town
Cathedral Church of St Anne,Leeds,West Yorkshire,5,11425,high,15978;13165;21524;21525;21526;21527;21531;25533;10218;14977,Resolved dedication 'Cath Ch of S Anne' (Leeds) among 27 towers in town
,Helmshore,,5,10421,high,,Unique tower in Helmshore (Lancashire); building unspecified in source
St Michael and All Angels,Pinhoe,Devon,5,13926,high,,Unique tower in Pinhoe; dedication 'S Michael & All Angels' matches 'St Michael and All Angels'
,Malmesbury,,5,14788,high,,Unique tower in Malmesbury (Wiltshire); building unspecified in source
,Newhey,,5,10050,high,,Unique tower in Newhey (Greater Manchester); building unspecified in source
,Oaks-in-Charnwood,,5,11164,high,,Unique tower in Oaks in Charnwood (Leicestershire); building unspecified in source
"Waterloo Tower, Quex Park",Birchington,Kent,5,14108,high,11371,Resolved dedication 'Waterloo Tower' (Birchington) among 2 towers in town
,Over,Cambs,5,10652,high,,Unique tower in Over (Cambridgeshire); building unspecified in source
The Narnia Campanile,Stubbington,Hampshire,5,25255,high,25509;25510,Resolved dedication 'Narnia Campanile' (Stubbington) among 3 towers in town
St Margaret,Leiston,Suffolk,5,15386,high,,Unique tower in Leiston; dedication 'S Margaret' matches 'St Margaret'
The Parish Church,East Farleigh,Kent,5,13991,medium,,"Sole ringing tower in East Farleigh, but dedication 'dedication unknown' differs from source 'The Parish Church'"
,Leiston,,5,15386,high,,Unique tower in Leiston (Suffolk); building unspecified in source
Church House,Melbourne,Derbyshire,5,,none,,Private domestic mini-ring or residence (handbell ring)
Cathedral Church of St Andrew,Sydney,New South Wales,5,16969,high,15468;13849;14777;13677;11518;10621;12983;13900;11755;16839,Resolved dedication 'Cath Ch of S Andrew' (Sydney) among 20 towers in town
St Mark,Swindon,,5,14500,high,10478;23948;23947;23949;23950;10808,Resolved dedication 'S Mark' (Swindon) among 7 towers in town
,Ilkley,,5,16588,medium,21163,Partial dedication match for 'All Saints' among 2 towers in town
,Thurcaston,,5,17102,high,,Unique tower in Thurcaston (Leicestershire); building unspecified in source
,Whiston,,5,14802,medium,16775;24723;24722,Partial dedication match for 'S Mary V' among 4 towers in town
Christ Church,Spitalfields,London,5,13840,high,,Unique tower in Spitalfields; dedication 'Christ Church' matches 'Christ Church'
St John the Baptist,Aldenham,Hertfordshire,5,15828,high,,Unique tower in Aldenham; dedication 'S John Bapt' matches 'St John the Baptist'
St Mary le More,Wallingford,Oxfordshire,5,15477,high,24380;24381,Resolved dedication 'S Mary le More' (Wallingford) among 3 towers in town
,Keighley,,5,12061,high,,Unique tower in Keighley (West Yorkshire); building unspecified in source
SS Mary V & Edward K&M,Barrow Gurney,Somerset,5,13023,high,,Unique tower in Barrow Gurney; dedication 'Blessed Virgin Mary & S Edward K&M' matches 'SS Mary V & Edward K&M'
SS Mary the Virgin & Edmund King & Martyr,Barrow Gurney,Somerset,5,13023,medium,,"Sole ringing tower in Barrow Gurney, but dedication 'Blessed Virgin Mary & S Edward K&M' differs from source 'SS Mary the Virgin & Edmund King & Martyr'"
St Nicholas,Warwick,Warwickshire,5,15025,high,11519;24458,Resolved dedication 'S Nicholas' (Warwick) among 3 towers in town
,Horsham,,5,15107,medium,21036;21037,Partial dedication match for 'S Mary V' among 3 towers in town
All Saints,Long Ashton,Somerset,5,10965,high,,Unique tower in Long Ashton; dedication 'All Saints' matches 'All Saints'
St John the Baptist,Staveley,Derbyshire,5,15085,high,,Unique tower in Staveley; dedication 'S John Bapt' matches 'St John the Baptist'
Church of the Good Shepherd,Augusta,Georgia,5,16381,high,,Unique tower in Augusta; dedication 'The Good Shepherd' matches 'Church of the Good Shepherd'
St Leonard,Shoreditch,London,5,11847,high,,Unique tower in Shoreditch; dedication 'S Leonard' matches 'St Leonard'
St Paul,Burwood,New South Wales,5,10621,high,,Unique tower in Burwood; dedication 'S Paul' matches 'St Paul'
,Burley,,5,14977,medium,18800,Partial dedication match for 'S Matthias' among 2 towers in town
St Giles,Pontefract,West Yorkshire,5,12231,high,13179,Resolved dedication 'S Giles' (Pontefract) among 2 towers in town
Christ Church,Spitalfields,London E,5,,none,,No matching tower found for 'Spitalfields' in Dove register
"The Ascension, Bitterne Park",Southampton,Hampshire,5,11712,high,13796;10453;13354;20881;25539;23552;25687;23549;23550;25418,Resolved dedication 'The Ascension' (Southampton) among 12 towers in town
Christ Church,Raleigh,North Carolina,5,10203,high,,Unique tower in Raleigh; dedication 'Christ Church' matches 'Christ Church'
The Assumption,Bradford Peverell,Dorset,5,15752,high,,Unique tower in Bradford Peverell; dedication 'The Assumption' matches 'The Assumption'
The Piglet Ring,Uffculme,Devon,5,25331,high,10883,Resolved dedication 'Piglet Ring' (Uffculme) among 2 towers in town
5 Woodfield Road,Peterborough,Cambridgeshire,5,,none,,Private residence address (handbell ring)
18 Dalby Avenue,Bushby,Leicestershire,5,,none,,Private residence address (handbell ring)
12 Brentnall Close,Long Eaton,Derbyshire,5,,none,,Private residence address (handbell ring)
St Nicholas,Leeds,Kent,5,16351,high,,Unique tower in Leeds; dedication 'S Nicholas' matches 'St Nicholas'
All Saints,Loughborough,,5,16752,high,10191;21820;21821;21822;17781,Resolved dedication 'All Saints' (Loughborough) among 6 towers in town
,Prittlewell,,5,13422,medium,22883;23561,Partial dedication match for 'S Mary V' among 3 towers in town
All Saints,Isleworth,Middlesex,5,13679,high,21203;21204;21205,Resolved dedication 'All Saints' (Isleworth) among 4 towers in town
St Helen,Abingdon,,5,15023,high,10628;17803,Resolved dedication 'S Helen' (Abingdon) among 3 towers in town
St Sepulchre,London,,5,17135,high,15228;11081;13868;12429;13028;11914;16634;16578;10471;16020,Resolved dedication 'S Sepulchre without Newgate' (London) among 42 towers in town
,Northallerton,,5,12067,high,,Unique tower in Northallerton (North Yorkshire); building unspecified in source
St Michael Archangel,Southampton,Hampshire,5,13354,high,13796;10453;11712;20881;25539;23552;25687;23549;23550;25418,Resolved dedication 'S Michael Archangel' (Southampton) among 12 towers in town
All Saints,Hursley,Hampshire,5,17077,high,,Unique tower in Hursley; dedication 'All Saints' matches 'All Saints'
Cathedral,Blackburn,,5,10297,high,13874;11152;18413;18414;18415;18416,Resolved dedication 'Cath Ch of S Mary V' (Blackburn) among 7 towers in town
Abbey Church of St Andrew,Hexham,Northumberland,5,16213,high,,Unique tower in Hexham; dedication 'Abbey Ch of S Andrew' matches 'Abbey Church of St Andrew'
St Mary the Virgin,Nottingham,Nottinghamshire,5,10637,high,16412;16058;25524;22500;22501;22502;22503,Resolved dedication 'S Mary V' (Nottingham) among 8 towers in town
St Mary,Abergavenny,Monmouthshire,5,10227,high,,Unique tower in Abergavenny; dedication 'S Mary' matches 'St Mary'
,Knottingley,,5,15888,high,,Unique tower in Knottingley (West Yorkshire); building unspecified in source
All Saints,Loughborough,Leicestershire,5,16752,high,10191;21820;21821;21822;17781,Resolved dedication 'All Saints' (Loughborough) among 6 towers in town
All Saints,West Ham,Essex,5,,none,,No matching tower found for 'West Ham' in Dove register
St Mary the Virgin,Ecclesfield,South Yorkshire,5,15876,high,,Unique tower in Ecclesfield; dedication 'S Mary V' matches 'St Mary the Virgin'
St Mary le Bow,City of London,,5,10588,high,15228;11081;13868;12429;13028;11914;16634;16578;10471;16020,Resolved dedication 'S Mary le Bow' (London) among 42 towers in town
St Sepulchre,London,City of London,5,17135,high,15228;11081;13868;12429;13028;11914;16634;16578;10471;16020,Resolved dedication 'S Sepulchre without Newgate' (London) among 41 towers in town
"St Giles, Cripplegate",City of London,,5,16634,high,15228;11081;13868;12429;13028;11914;16578;10471;16020;13189,Resolved dedication 'S Giles without Cripplegate' (London) among 42 towers in town
16 Godesdone Rd,Cambridge,Cambridgeshire,5,,none,,Private residence address (handbell ring)
38 Priory Avenue,Caversham,Berkshire,5,,none,,Private residence address (handbell ring)
Minster church of St John the Baptist,Halifax,West Yorkshire,5,11592,high,10914;20548;20549;25542,Resolved dedication 'Minster Ch of S John Bapt' (Halifax) among 5 towers in town
St Mary-le-Bow,London,,5,10588,high,15228;11081;13868;12429;13028;11914;16634;16578;10471;16020,Resolved dedication 'S Mary le Bow' (London) among 42 towers in town
"St Peter, Preston Park",Brighton,East Sussex,4,10532,high,16546;10859;14297;14589;18660;18670;18662;18663;18664;18665,Resolved dedication 'S Peter' (Brighton) among 16 towers in town
St Mary,Carlton,Bedfordshire,4,15609,high,,Unique tower in Carlton; dedication 'S Mary' matches 'St Mary'
All Saints,Seckington,Warwickshire,4,14225,high,,Unique tower in Seckington; dedication 'All Saints' matches 'All Saints'
Room 1011,Hartley Library,Hampshire,4,,none,,No matching tower found for 'Hartley Library' in Dove register
All Saints,Kempston,Bedfordshire,4,15732,high,21242,Resolved dedication 'All Saints' (Kempston) among 2 towers in town
Christ Church,Moreton,Merseyside,4,11144,high,,Unique tower in Moreton; dedication 'Christ Church' matches 'Christ Church'
76 Rectory Road,"Old Stoke, Ipswich",Suffolk,4,,none,,Private residence address (handbell ring)
"Whitehaven, Tredova Crescent",Falmouth,Cornwall,4,,none,,Private residence name (handbell ring)
St Peter Apostle and Martyr Town Church,St Peter Port,Guernsey,4,12910,medium,25248;12882;23667;23668,Partial dedication match for 'S Peter A&M Town Church' among 5 towers in town
,Grantham,,4,15759,medium,20378;20377;20379;20380,Partial dedication match for 'S Wulfram' among 5 towers in town
